University,Score,Country,League
University of Rochester,81.935,USA,Diamond League
Tokyo Institute of Technology,81.894,Japan,Diamond League
University of Warwick,81.832,UK,Diamond League
University of British Columbia,81.719,Canada,Diamond League
Technical University of Munich,81.655,Germany,Diamond League
Georgetown University,81.530,USA,Diamond League
London School of Economics and Political Science,81.508,UK,Diamond League
"University of California, Davis",81.382,USA,Diamond League
City University of Hong Kong,81.377,Hong Kong,Diamond League
RWTH Aachen University,81.264,Germany,Diamond League
University of Sheffield,81.230,UK,Diamond League
University of Bristol,81.109,UK,Diamond League
Lomonosov Moscow State University,81.083,Russia,Diamond League
Dartmouth College,80.884,USA,Diamond League
Ohio State University,80.742,USA,Diamond League
University of Birmingham,80.720,UK,Diamond League
University of Notre Dame,80.698,USA,Diamond League
USI - Universita della Svizzera italiana,80.681,Switzerland,Diamond League
University of St. Andrews,80.633,UK,Diamond League
George Washington University,80.421,USA,Diamond League
Hebrew University of Jerusalem,80.287,Israel,Diamond League
Universite de Montreal,80.094,Canada,Diamond League
National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),80.059,Russia,Golden League
Rutgers the State University of New Jersey,79.967,USA,Golden League
Tomsk State University,79.937,Russia,Golden League
Medical University of Vienna,79.684,Austria,Golden League
National Taiwan University,79.541,Taiwan,Golden League
Moscow Institute of Physics and Technology,79.448,Russia,Golden League
University of Florida,79.370,USA,Golden League
University of Sao Paulo,79.328,Brazil,Golden League
University of Gottingen,79.310,Germany,Golden League
Nagoya University,79.061,Japan,Golden League
"University of Maryland, College Park",79.057,USA,Golden League
University of Queensland Australia,78.774,Australia,Golden League
University of Malaya,78.765,Malaysia,Golden League
Lancaster University,78.672,UK,Golden League
Hong Kong University of Science and Technology,78.613,Hong Kong,Golden League
Free University of Berlin,78.534,Germany,Golden League
Aalto University,78.507,Finland,Golden League
Radboud University Nijmegen,78.497,Netherlands,Golden League
University of Bergen,78.379,Norway,Golden League
Queen Mary University of London,78.365,UK,Golden League
University of Glasgow,78.332,UK,Golden League
Hokkaido University,78.233,Japan,Golden League
University of Calgary,78.142,Canada,Golden League
Michigan State University,78.079,USA,Golden League
Erasmus University Rotterdam,78.044,Netherlands,Golden League
Karlsruhe Institute of Technology,77.970,Germany,Golden League
University of New South Wales,77.907,Australia,Golden League
Aarhus University,77.847,Denmark,Golden League
University of Iowa,77.770,USA,Golden League
Osaka University,77.753,Japan,Golden League
Tokyo Medical and Dental University,77.739,Japan,Golden League
Pennsylvania State University,77.715,USA,Golden League
Nanjing University,77.643,China,Golden League
Tulane University,77.470,USA,Golden League
Monash University,77.311,Australia,Golden League
University of Adelaide,77.184,Australia,Golden League
Durham University,77.110,UK,Golden League
University of Utah,76.963,USA,Golden League
University of Groningen,76.919,Netherlands,Golden League
Technion Israel Institute of Technology,76.914,Israel,Golden League
McMaster University,76.861,Canada,Golden League
University of Miami,76.825,USA,Golden League
Humboldt University of Berlin,76.761,Germany,Golden League
University of Tsukuba,76.673,Japan,Golden League
Katholieke Universiteit Leuven (KU Leuven),76.105,Belgium,Golden League
University of Hamburg,76.092,Germany,Golden League
Rockefeller University,76.071,USA,Golden League
University of Western Australia,75.980,Australia,Golden League
University of Cologne,75.948,Germany,Golden League
University of Kansas,75.806,USA,Golden League
Universite de Paris,75.753,France,Golden League
University of Liverpool,75.679,UK,Golden League
North Carolina State University,75.513,USA,Golden League
University of Reading,75.491,UK,Golden League
State University of Campinas (Unicamp),75.490,Brazil,Golden League
Tel Aviv University,75.365,Israel,Golden League
A.C.Camargo Cancer Center,75.319,Brazil,Golden League
University of Sussex,75.295,UK,Golden League
Vrije Universiteit Brussels (VUB),75.249,Belgium,Golden League
University of Erlangen Nuremberg,75.165,Germany,Golden League
Tehran University of Medical Sciences,75.074,Iran,Golden League
Cardiff University,74.925,UK,Golden League
Hanyang University,74.896,Republic of Korea,Golden League
Sungkyunkwan University,74.824,Republic of Korea,Golden League
Technical University of Berlin,74.782,Germany,Golden League
"University of Colorado, Boulder",74.773,USA,Golden League
Harbin Institute of Technology,74.768,China,Golden League
University of Arizona,74.516,USA,Golden League
University of Nova Gorica,74.461,Slovenia,Golden League
Colorado School of Mines,74.416,USA,Golden League
Northeastern University,74.383,USA,Golden League
University of Hawaii,74.273,USA,Golden League
Weizmann Institute of Science,74.256,Israel,Golden League
Indiana University,74.229,USA,Golden League
Ghent University,74.128,Belgium,Golden League
Beijing Normal University,74.010,China,Golden League
Trinity College Dublin,73.975,Ireland,Golden League
University of Padua,73.882,Italy,Golden League
IMT Atlantique,73.783,France,Golden League
University of York,73.713,UK,Golden League
University of Wurzburg,73.471,Germany,Golden League
Central European University,73.466,Austria,Golden League
"State University of New York, Stony Brook",73.440,USA,Golden League
"University of California, Santa Barbara",73.433,USA,Golden League
Tongji University,73.341,China,Golden League
University of Gothenburg,73.316,Sweden,Golden League
Newcastle University,73.285,UK,Golden League
Dalhousie University,73.019,Canada,Golden League
"State University of New York, Buffalo",73.011,USA,Golden League
Gwangju Institute of Science and Technology,72.979,Republic of Korea,Golden League
University Catholique de Louvain,72.904,Belgium,Golden League
University of Ottawa,72.732,Canada,Golden League
University of Aberdeen,72.714,UK,Golden League
Western University,72.648,Canada,Golden League
University of Exeter,72.589,UK,Golden League
University of Freiburg,72.513,Germany,Golden League
Autonomous University of Barcelona,72.499,Spain,Golden League
University of Munster,72.349,Germany,Golden League
Texas A&M University,72.260,USA,Golden League
University of Montpellier,72.158,France,Golden League
University of Ulm,72.093,Germany,Silver League
"Royal Holloway, University of London",72.007,UK,Silver League
Temple University,71.997,USA,Silver League
Sapienza University of Rome,71.613,Italy,Silver League
Swedish University of Agricultural Sciences,71.603,Sweden,Silver League
University of Connecticut,71.589,USA,Silver League
"University of California, Irvine",71.575,USA,Silver League
Aix Marseille University,71.494,France,Silver League
University of Cape Town,71.170,South Africa,Silver League
William & Mary,71.012,USA,Silver League
Technical University of Darmstadt,70.866,Germany,Silver League
University College Dublin,70.709,Ireland,Silver League
University of Auckland,70.675,New Zealand,Silver League
University of Alaska,70.559,USA,Silver League
St George`s University of London,70.544,UK,Silver League
Isfahan University of Technology,70.503,Iran,Silver League
Kobe University,70.490,Japan,Silver League
Laval University,70.456,Canada,Silver League
Tilburg University,70.368,Netherlands,Silver League
China Agricultural University,70.233,China,Silver League
Wuhan University,70.121,China,Silver League
Huazhong University of Science and Technology,69.980,China,Silver League
School of Oriental and African Studies (SOAS University),69.941,UK,Silver League
University of Tennessee Knoxville,69.916,USA,Silver League
Xi`an Jiaotong University,69.791,China,Silver League
University of Tehran,69.763,Iran,Silver League
"Indian Institute of Technology, Delhi",69.733,India,Silver League
Boston College,69.456,USA,Silver League
Beihang University,69.409,China,Silver League
"Indian Institute of Technology, Madras",69.397,India,Silver League
Kyung Hee University,69.392,Republic of Korea,Silver League
Universite Libre de Bruxelles,69.385,Belgium,Silver League
Fujita Health University,69.364,Japan,Silver League
University of Otago,69.339,New Zealand,Silver League
University of Georgia,69.272,USA,Silver League
National Tsing Hua University,69.256,Taiwan,Silver League
Aalborg University,69.235,Denmark,Silver League
Queen`s University Belfast,69.142,UK,Silver League
University of Barcelona,69.057,Spain,Silver League
Universiti Sains Malaysia,69.049,Malaysia,Silver League
University of Wollongong,68.983,Australia,Silver League
University of Antwerp,68.921,Belgium,Silver League
Lappeenranta University of Technology,68.898,Finland,Silver League
Syracuse University,68.824,USA,Silver League
Universite Grenoble Alpes (UGA),68.812,France,Silver League
Virginia Polytechnic Institute and State University,68.680,USA,Silver League
King Abdulaziz University,68.630,Saudi Arabia,Silver League
Hong Kong Polytechnic University,68.564,Hong Kong,Silver League
Queensland University of Technology,68.563,Australia,Silver League
Charles University in Prague,68.550,Czech Republic,Silver League
University of New Mexico,68.505,USA,Silver League
University of East Anglia,68.462,UK,Silver League
Curtin University,68.372,Australia,Silver League
"Indian Institute of Science Education and Research, Pune",68.206,India,Silver League
Heriot-Watt University,68.177,UK,Silver League
University of Bath,68.135,UK,Silver League
Universiti Kebangsaan Malaysia,68.061,Malaysia,Silver League
University of Bordeaux,67.976,France,Silver League
University of Surrey,67.964,UK,Silver League
"University of California, Riverside",67.953,USA,Silver League
University of Trieste,67.732,Italy,Silver League
Pompeu Fabra University,67.667,Spain,Silver League
Rensselaer Polytechnic Institute,67.664,USA,Silver League
University of Strathclyde,67.568,UK,Silver League
University of Witwatersrand,67.562,South Africa,Silver League
Universiti Putra Malaysia,67.553,Malaysia,Silver League
University of Saskatchewan,67.367,Canada,Silver League
Macquarie University,67.351,Australia,Silver League
University of Konstanz,67.330,Germany,Silver League
Nankai University,67.326,China,Silver League
Queens University,67.247,Canada,Silver League
University of Dundee,67.013,UK,Silver League
Autonomous University of Madrid,67.011,Spain,Silver League
James Cook University,66.764,Australia,Silver League
Hiroshima University,66.644,Japan,Silver League
Norwegian University of Science and Technology,66.528,Norway,Silver League
Brunel University,66.514,UK,Silver League
American University of Beirut,66.492,Lebanon,Silver League
"Birkbeck, University of London",66.455,UK,Silver League
University of Tartu,66.385,Estonia,Silver League
American University,66.317,USA,Silver League
Loughborough University,66.224,UK,Silver League
University of Waterloo,66.171,Canada,Silver League
Colorado State University,66.099,USA,Silver League
University of Canterbury,66.075,New Zealand,Silver League
University of Guelph,65.971,Canada,Silver League
Universiti Teknologi Malaysia,65.957,Malaysia,Silver League
Creighton University,65.830,USA,Silver League
University of Porto,65.771,Portugal,Silver League
National Chiao Tung University,65.716,Taiwan,Silver League
Arizona State University,65.707,USA,Silver League
Beijing Institute of Technology,65.653,China,Silver League
University of Navarra,65.641,Spain,Silver League
University of Texas at Dallas,65.619,USA,Silver League
University of Nebraska,65.518,USA,Silver League
Southeast University,65.367,China,Silver League
University of Coimbra,65.255,Portugal,Silver League
University of Nebraska Medical Center,65.227,USA,Silver League
Stellenbosch University,64.912,South Africa,Silver League
University of South Florida,64.882,USA,Silver League
Sun Yat Sen University,64.815,China,Bronze League
University of Manitoba,64.773,Canada,Bronze League
University of Delaware,64.730,USA,Bronze League
Washington State University,64.562,USA,Bronze League
Saint Petersburg State University,64.515,Russia,Bronze League
University of Tasmania,64.484,Australia,Bronze League
University of Turku,64.389,Finland,Bronze League
Johann Wolfgang Goethe University Frankfurt am Main,64.382,Germany,Bronze League
National University of Science and Technology MISiS,64.371,Russia,Bronze League
Griffith University,64.332,Australia,Bronze League
East China Normal University,64.279,China,Bronze League
University of Innsbruck,64.263,Austria,Bronze League
Bar-Ilan University,64.192,Israel,Bronze League
University of Pisa,64.150,Italy,Bronze League
Brandeis University,64.083,USA,Bronze League
Okayama University,64.029,Japan,Bronze League
University of Oulu,63.948,Finland,Bronze League
University of South Carolina,63.916,USA,Bronze League
University of Aveiro,63.843,Portugal,Bronze League
Lehigh University,63.703,USA,Bronze League
Simon Fraser University,63.507,Canada,Bronze League
University of Jyvaskyla,63.440,Finland,Bronze League
"University of California, Santa Cruz",63.284,USA,Bronze League
ITMO University,63.180,Russia,Bronze League
Chulalongkorn University,63.153,Thailand,Bronze League
RMIT University,62.788,Australia,Bronze League
Flinders University,62.747,Australia,Bronze League
Central South University,62.660,China,Bronze League
Bielefeld University,62.600,Germany,Bronze League
University of Macau,62.600,Macau,Bronze League
Umea University,62.508,Sweden,Bronze League
Nanjing Medical University,62.442,China,Bronze League
University of Genoa,62.423,Italy,Bronze League
"Indian Institute of Technology, Kanpur",62.211,India,Bronze League
University of Lisbon,62.102,Portugal,Bronze League
King Fahd University of Petroleum and Minerals,61.965,Saudi Arabia,Bronze League
Chung-Ang University,61.931,Republic of Korea,Bronze League
Florida Institute of Technology,61.877,USA,Bronze League
Semmelweis University,61.870,Hungary,Bronze League
Renmin University of China,61.842,China,Bronze League
National Cheng Kung University,61.755,Taiwan,Bronze League
Louisiana State University,61.676,USA,Bronze League
University of Eastern Finland,61.633,Finland,Bronze League
University of Vermont,61.432,USA,Bronze League
Pontificia University Catolica de Chile,61.303,Chile,Bronze League
Sichuan University,61.247,China,Bronze League
Auburn University,61.229,USA,Bronze League
Texas Tech University,61.166,USA,Bronze League
La Trobe University,61.138,Australia,Bronze League
University of Hyderabad,61.092,India,Bronze League
National Taiwan University of Science and Technology,61.025,Taiwan,Bronze League
Oklahoma State University,61.012,USA,Bronze League
Bilkent University,60.879,Turkey,Bronze League
Koc University,60.816,Turkey,Bronze League
University of Essex,60.775,UK,Bronze League
University of Iceland,60.728,Iceland,Bronze League
Hofstra University,60.686,USA,Bronze League
Jagiellonian University,60.644,Poland,Bronze League
Northwestern Polytechnical University,60.624,China,Bronze League
Ewha Womans University,60.249,Republic of Korea,Bronze League
Massey University,59.991,New Zealand,Bronze League
South China University of Technology,59.981,China,Bronze League
University of Warsaw,59.792,Poland,Bronze League
Keio University,59.663,Japan,Bronze League
George Mason University,59.605,USA,Bronze League
Dalian University of Technology,59.579,China,Bronze League
West Virginia University,59.513,USA,Bronze League
University of Tromso,59.444,Norway,Bronze League
Universite Cote d`Azur (ComUE),59.318,France,Bronze League
Polytechnic University of Milan,59.275,Italy,Bronze League
University of Nova de Lisboa,59.250,Portugal,Bronze League
Kazan Federal University,59.233,Russia,Bronze League
University of Bremen,59.195,Germany,Bronze League
University of KwaZulu Natal,59.192,South Africa,Bronze League
Tomsk Polytechnic University,59.170,Russia,Bronze League
University of South Australia,59.168,Australia,Bronze League
University of Debrecen,59.065,Hungary,Bronze League
Polytechnic University of Catalonia,59.062,Spain,Bronze League
Kanazawa University,58.983,Japan,Bronze League
Aberystwyth University,58.438,UK,Bronze League
University of St. Gallen,58.378,Switzerland,Bronze League
National Taiwan Normal University,58.367,Taiwan,Bronze League
University of Houston,58.357,USA,Bronze League
Peter the Great St. Petersburg Polytechnic University,58.326,Russia,Bronze League
Hong Kong Baptist University,58.259,Hong Kong,Bronze League
King Saud University,58.146,Saudi Arabia,Bronze League
Bogazici University,58.013,Turkey,Bronze League
Hacettepe University,57.988,Turkey,Bronze League
University of Sherbrooke,57.962,Canada,Bronze League
Iran University of Science & Technology,57.885,Iran,Bronze League
Konkuk University,57.874,Republic of Korea,Bronze League
University of Oregon,57.838,USA,Bronze League
Swansea University,57.681,UK,Bronze League
Chiba University,57.665,Japan,Bronze League
Xiamen University,57.657,China,Bronze League
Sabanci University,57.636,Turkey,Bronze League
Victoria University of Wellington,57.512,New Zealand,Bronze League
University of Pretoria,57.442,South Africa,Bronze League
University of Idaho,57.378,USA,Bronze League
Deakin University,57.321,Australia,Bronze League
RUDN University,57.312,Russia,Copper League
University of Hannover,57.299,Germany,Copper League
Keele University,57.289,UK,Copper League
Comenius University Bratislava,57.254,Slovakia,Copper League
Polytechnic University of Valencia,57.229,Spain,Copper League
Chang Gung University,57.224,Taiwan,Copper League
National Central University,57.170,Taiwan,Copper League
Osaka City University,57.084,Japan,Copper League
Jilin University,57.077,China,Copper League
University of Stirling,57.055,UK,Copper League
National Sun Yat-Sen University,57.032,Taiwan,Copper League
"State University of New York, Albany",56.936,USA,Copper League
Bauman Moscow State Technical University,56.675,Russia,Copper League
Mahidol University,56.640,Thailand,Copper League
Polytechnic University of Turin,56.552,Italy,Copper League
University of Szeged,56.548,Hungary,Copper League
Juntendo University,56.490,Japan,Copper League
Aston University,56.322,UK,Copper League
University of Western Sydney,56.293,Australia,Copper League
Swinburne University of Technology,55.953,Australia,Copper League
University of Plymouth,55.852,UK,Copper League
The New School,55.844,USA,Copper League
Beijing University of Technology,55.833,China,Copper League
East China University of Science and Technology,55.661,China,Copper League
Middle East Technical University,55.655,Turkey,Copper League
Shanghai University,55.435,China,Copper League
Yokohama City University,55.365,Japan,Copper League
Kumamoto University,55.358,Japan,Copper League
China Medical University (Taiwan),55.325,China,Copper League
Kent State University,55.321,USA,Copper League
Vilnius University,55.221,Lithuania,Copper League
University of Victoria,55.190,Canada,Copper League
University College Cork,55.188,Ireland,Copper League
IMT Mines Albi,55.151,France,Copper League
University of Rovira i Virgili,54.951,Spain,Copper League
National Autonomous University of Mexico,54.925,Mexico,Copper League
Hunan University,54.825,China,Copper League
Jamia Millia Islamia,54.769,India,Copper League
Soochow University (China),54.752,China,Copper League
K. N. Toosi University of Technology,54.633,Iran,Copper League
University of Minho,54.536,Portugal,Copper League
University of Ferrara,54.478,Italy,Copper League
Sechenov University,54.421,Russia,Copper League
Shahid Beheshti University,54.388,Iran,Copper League
Northeastern University (China),54.347,China,Copper League
Auckland University of Technology,54.346,New Zealand,Copper League
Nanjing University of Technology,54.294,China,Copper League
University of Hull,54.212,UK,Copper League
Masaryk University,54.125,Czech Republic,Copper League
Oxford Brookes University,54.121,UK,Copper League
Universita Cattolica del Sacro Cuore,54.104,Italy,Copper League
Palacky University of Olomouc,53.962,Czech Republic,Copper League
University of Turin,53.821,Italy,Copper League
National Chung Hsing University,53.741,Taiwan,Copper League
Lobachevsky University,53.689,Russia,Copper League
Istanbul Technical University,53.608,Turkey,Copper League
Worcester Polytechnic Institute,53.599,USA,Copper League
Kyungpook National University,53.597,Republic of Korea,Copper League
University of Ljubljana,53.556,Slovenia,Copper League
University of Valencia,53.469,Spain,Copper League
New Mexico State University,53.450,USA,Copper League
University of Waikato,53.394,New Zealand,Copper League
New Jersey Institute of Technology (NJIT),53.246,USA,Copper League
Eotvos Lorand University,53.184,Hungary,Copper League
University of Arkansas,53.148,USA,Copper League
Osaka Prefecture University,53.062,Japan,Copper League
Beijing University of Chemical Technology,53.038,China,Copper League
Kaohsiung Medical University,53.029,Taiwan,Copper League
University of New Brunswick,52.851,Canada,Copper League
Yokohama National University,52.848,Japan,Copper League
Manipal Academy of Higher Education,52.749,India,Copper League
University of Crete,52.691,Greece,Copper League
University de Lorraine,52.299,France,Copper League
Nanjing University of Science & Technology,52.287,China,Copper League
North Dakota State University,52.228,USA,Copper League
University of Electronic Science and Technology of China,52.185,China,Copper League
University of Qatar,52.146,Qatar,Copper League
York University,52.062,Canada,Copper League
University of Rome III,52.007,Italy,Copper League
Moscow Aviation Institute,51.980,Russia,Copper League
Complutense University of Madrid,51.952,Spain,Copper League
Florida International University,51.906,USA,Copper League
Polytechnic University of Madrid,51.879,Spain,Copper League
Liverpool John Moores University,51.795,UK,Copper League
Waseda University,51.778,Japan,Copper League
Gifu University,51.706,Japan,Copper League
Old Dominion University,51.665,USA,Copper League
Kyushu Institute of Technology,51.494,Japan,Copper League
University of Sofia,51.333,Bulgaria,Copper League
Macau University of Science and Technology,51.210,Macau,Copper League
National Taras Shevchenko University of Kyiv,51.080,Ukraine,Copper League
Indian Institute of Technology (Indian School of Mines),51.038,India,Copper League
Ca`Foscari University of Venice,50.869,Italy,Copper League
Charles III University of Madrid,50.673,Spain,Copper League
University of Puerto Rico,50.657,Puerto Rico,Copper League
University of Santiago de Compostela,50.656,Spain,Copper League
Australian Catholic University,50.468,Australia,Copper League
Stevens Institute of Technology,50.224,USA,Copper League
University of Alabama Birmingham,50.050,USA,Copper League
Babol Noshirvani University of Technology,49.987,Iran,Copper League
University of Tabriz,49.942,Iran,World League
Chongqing University,49.835,China,World League
Ankara University,49.815,Turkey,World League
Dublin City University,49.796,Ireland,World League
Northumbria University,49.749,UK,World League
University of Texas at Arlington,49.746,USA,World League
Jinan University,49.732,China,World League
Chonnam National University,49.557,Republic of Korea,World League
Universite de Tunis El Manar,49.539,Tunisia,World League
Shanghai University of Traditional Chinese Medicine,49.381,China,World League
University of Lucerne,49.298,Switzerland,World League
Chonbuk National University,49.293,Republic of Korea,World League
University of Greenwich,49.217,UK,World League
Sogang University,49.187,Republic of Korea,World League
Monterrey Institute of Technology and Higher Education,49.101,Mexico,World League
University of Bradford,49.074,UK,World League
Jiangnan University,48.944,China,World League
American University in Cairo,48.926,Egypt,World League
University of Texas at San Antonio,48.922,USA,World League
Jeonbuk National University,48.613,Republic of Korea,World League
Universidade Federal do Ceara,48.245,Brazil,World League
Edith Cowan University,48.069,Australia,World League
University of Portsmouth,48.056,UK,World League
Universite du Quebec a Montreal,48.010,Canada,World League
IQS Universitat Ramon Llull,48.006,Spain,World League
University of Zaragoza,47.999,Spain,World League
Istanbul University,47.810,Turkey,World League
Siberian Federal University,47.603,Russia,World League
University of the Basque Country,47.572,Spain,World League
Brno University of Technology,47.379,Czech Republic,World League
Nanjing University of Aeronautics & Astronautics,47.379,China,World League
Murdoch University,47.324,Australia,World League
Texas Christian University,47.209,USA,World League
Yamagata University,47.070,Japan,World League
University of Southern Queensland,47.032,Australia,World League
Toyohashi University of Technology,46.785,Japan,World League
Mississippi State University,46.784,USA,World League
University of Salamanca,46.753,Spain,World League
University of Zagreb,46.677,Croatia,World League
Warsaw University of Technology,46.659,Poland,World League
Lebanese American University,46.591,Lebanon,World League
Northeast Normal University (China),46.537,China,World League
University of Central Florida,46.257,USA,World League
Aristotle University of Thessaloniki,46.145,Greece,World League
Tottori University,46.020,Japan,World League
Wuhan University of Technology,45.963,China,World League
National Taipei University of Technology,45.917,Taiwan,World League
China Pharmaceutical University,45.802,China,World League
University of Johannesburg,45.712,South Africa,World League
Riga Technical University,45.639,Latvia,World League
Belarusian State University,45.576,Belarus,World League
Chiang Mai University,45.549,Thailand,World League
Amrita Vishwa Vidyapeetham University,45.534,India,World League
Beijing Forestry University,45.307,China,World League
University of Peradeniya,45.274,Sri Lanka,World League
Middlesex University,45.158,UK,World League
University of Ulster,45.150,UK,World League
Mendeleev University,45.051,Russia,World League
Hitotsubashi University,45.029,Japan,World League
University of Seville,44.958,Spain,World League
Saint-Petersburg State Electrotechnical University ``LETI``,44.899,Russia,World League
Coventry University,44.767,UK,World League
San Diego State University,44.717,USA,World League
Fluminense Federal University,44.368,Brazil,World League
Xidian University,44.332,China,World League
Financial University under the Government of the Russian Federation,44.329,Russia,World League
National Research University of Electronic Technology (MIET),44.144,Russia,World League
University of Electro-Communications,44.086,Japan,World League
Pirogov University,44.031,Russia,World League
"State University of New York, Binghamton",44.019,USA,World League
University of Baghdad,44.007,Iraq,World League
University of Vigo,43.885,Spain,World League
University of Bari,43.876,Italy,World League
ISCTE - Instituto Universitario de Lisboa,43.846,Portugal,World League
Samara University,43.814,Russia,World League
Gyeongsang National University,43.798,Republic of Korea,World League
Al-Farabi Kazakh National University,43.748,Kazakhstan,World League
Kashan University,43.580,Iran,World League
Maynooth University,43.400,Ireland,World League
University of Hertfordshire,43.396,UK,World League
Tokai University,43.347,Japan,World League
East Carolina University,43.341,USA,World League
University of Brescia,43.339,Italy,World League
University of Central Lancashire,43.208,UK,World League
University of Memphis,43.203,USA,World League
Concordia University,43.071,Canada,World League
University of Alcala,42.968,Spain,World League
Oakland University,42.948,USA,World League
Glasgow Caledonian University,42.844,UK,World League
Southern Cross University,42.692,Australia,World League
Thammasat University,42.622,Thailand,World League
Sumy State University,42.574,Ukraine,World League
Northern Arizona University,42.488,USA,World League
Chung Shan Medical University,42.188,Taiwan,World League
Babes-Bolyai University,42.171,Romania,World League
Inha University,42.035,Republic of Korea,World League
Florida Atlantic University,41.998,USA,World League
TOBB University of Economics and Technology,41.787,Turkey,World League
University of the West of England,41.685,UK,World League
Manchester Metropolitan University,41.436,UK,World League
Ryazan State Medical University,41.383,Russia,World League
Gebze Technical University,41.207,Turkey,World League
Universite de Carthage,41.099,Tunisia,World League
Miami University,41.069,USA,World League
Ege University,41.058,Turkey,World League
Cochin University of Science and Technology,40.932,India,World League
De Montfort University,40.930,UK,World League
King Mongkut`s University of Technology Thonburi,40.806,Thailand,World League
University of Maribor,40.725,Slovenia,World League
Yeungnam University,40.621,Republic of Korea,World League
Altai State University,40.607,Russia,World League
Orel State University,40.539,Russia,World League
Austral University (Argentina),40.504,Argentina,World League
Federation University Australia,40.346,Australia,World League
North-Eastern Federal University,40.310,Russia,World League
National Technical University Kharkiv Polytechnic Institute,40.225,Ukraine,World League
Bashkirian State Medical University,40.166,Russia,World League
University of Quebec at Chicoutimi,39.936,Canada,World League
Gazi University,39.925,Turkey,World League
Hallym University,39.921,Republic of Korea,World League
Portland State University,39.879,USA,World League
Far Eastern Federal University,39.855,Russia,World League
Pontificia Universidade Catolica do Rio Grande do Sul,39.672,Brazil,World League
Siberian State Medical University,39.650,Russia,World League
Jiangsu University,39.644,China,World League
